,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
1296,Joe Jimenez,SL,0.0912422360248446,0.42857142857142855,0.2732919254658385,0.10559006211180125,0.19254658385093168,161.0,0.20810453817692648,Slider
1299,Joe Jimenez,CH,0.03271604938271605,0.4691358024691358,0.20987654320987653,0.1111111111111111,0.20987654320987653,81.0,0.12765397399004674,Changeup
1967,Brian Johnson,FF,0.16804761904761933,0.3238095238095238,0.3142857142857143,0.1738095238095238,0.1880952380952381,420.0,0.1603646846323446,Four-seam Fastball
1969,Brian Johnson,CU,0.15821989528795755,0.3298429319371728,0.3089005235602094,0.16230366492146597,0.19895287958115182,191.0,0.17778582610313318,Curveball
1973,Brian Johnson,SL,0.060804597701149425,0.3563218390804598,0.19540229885057472,0.21839080459770116,0.22988505747126436,87.0,0.20810453817692648,Slider
2028,Brian Johnson,CH,0.0774193548387097,0.45161290322580644,0.25806451612903225,0.12903225806451613,0.16129032258064516,31.0,0.12765397399004674,Changeup
2697,Marcus Walden,FC,0.089423076923077,0.3076923076923077,0.23076923076923078,0.21153846153846154,0.25,52.0,0.1565383301837312,Cutter
2699,Marcus Walden,SI,0.12493150684931513,0.3698630136986301,0.3013698630136986,0.1232876712328767,0.2054794520547945,73.0,0.11394481591195386,Sinker
2711,Marcus Walden,SL,0.31485714285714295,0.42857142857142855,0.37142857142857144,0.11428571428571428,0.08571428571428572,35.0,0.20810453817692648,Slider
2857,Austin Maddox,FF,0.17804347826086953,0.41304347826086957,0.2608695652173913,0.18478260869565216,0.14130434782608695,92.0,0.1603646846323446,Four-seam Fastball
2859,Austin Maddox,CH,0.1465957446808511,0.2127659574468085,0.22340425531914893,0.2872340425531915,0.2765957446808511,94.0,0.12765397399004674,Changeup
2861,Austin Maddox,FT,0.21561403508771884,0.3508771929824561,0.2894736842105263,0.21052631578947367,0.14912280701754385,114.0,0.09296613721316117,Two-seam Fastball
2918,Austin Maddox,SL,0.3562500000000001,0.4375,0.5,0.0,0.0625,16.0,0.20810453817692648,Slider
3173,Jamie Callahan,FF,0.2156060606060607,0.2878787878787879,0.3333333333333333,0.15151515151515152,0.22727272727272727,66.0,0.1603646846323446,Four-seam Fastball
3174,Jamie Callahan,SL,0.3164285714285714,0.25,0.39285714285714285,0.14285714285714285,0.21428571428571427,28.0,0.20810453817692648,Slider
3275,Ben Taylor,FT,0.16539215686274503,0.3431372549019608,0.2647058823529412,0.23529411764705882,0.1568627450980392,102.0,0.09296613721316117,Two-seam Fastball
3277,Ben Taylor,SL,0.178421052631579,0.3684210526315789,0.30526315789473685,0.17894736842105263,0.14736842105263157,95.0,0.20810453817692648,Slider
3278,Ben Taylor,FF,0.15979729729729686,0.34459459459459457,0.23648648648648649,0.27702702702702703,0.14189189189189189,148.0,0.1603646846323446,Four-seam Fastball
3287,Ben Taylor,CH,0.13333333333333333,0.30303030303030304,0.24242424242424243,0.24242424242424243,0.21212121212121213,33.0,0.12765397399004674,Changeup
3653,Mark Leiter,FF,0.1377723577235785,0.359349593495935,0.3056910569105691,0.16260162601626016,0.17235772357723578,615.0,0.1603646846323446,Four-seam Fastball
3654,Mark Leiter,FT,0.10759493670886033,0.3459915611814346,0.28270042194092826,0.16455696202531644,0.20675105485232068,237.0,0.09296613721316117,Two-seam Fastball
3658,Mark Leiter,FC,0.1462361623616235,0.42066420664206644,0.2693726937269373,0.13653136531365315,0.17343173431734318,271.0,0.1565383301837312,Cutter
